label	cutoff	tp	tn	fp	fn	sensitivity	specificity	ppv	npv	fdr	accuracy	mcc	f1score	mothur_version	list_header	numotus
userLabel	0.03	6276939	633464185	3232114	552512	0.9191	0.9949	0.6601	0.9991	0.3399	0.9941	0.7762	0.7684	1.37.0	no	NA
userLabel	0.03	6276939	633464185	3232114	552512	0.9191	0.9949	0.6601	0.9991	0.3399	0.9941	0.7762	0.7684	1.37.0	with	NA
userLabel	0.03	6276940	-182635000000	183272000000	552512	0.9191	-286.8	3.425e-5	1	3.425e-5	-283.8	0	6.849e-5	1.46.1	no	2113
userLabel	0.03	6276940	-182635000000	183272000000	552512	0.9191	-286.8	3.425e-5	1	3.425e-5	-283.8	0	6.849e-5	1.46.1	with	2113
